app_id,app_name,sentiment,review_original,review_tokenized,timestamp
412830,STEINS;GATE,positive,한글 십압,한글 십압,2018-08-17 07:44:51
412830,STEINS;GATE,positive,한글화 되기 전까지 숨 참습니다! 흐읍! 켘켘,한글화 되기 전 까지 숨 참습니다 ! 흐읍 ! 켘켘,2018-07-28 21:32:37
412830,STEINS;GATE,positive,이런 명작을 이제서야 알다니 인생 절반 손해봤어~!,이런 명작 을 이제 서야 알다 니 인생 절반 손 해봤어 ~!,2018-07-07 16:24:48
412830,STEINS;GATE,positive,한글패치 당연히 되는줄알고 사놓고 방치해놨었는데 없네 한글화 해줘 우익 시발놈들아 ㅠㅠㅠㅠㅠ,한글패치 당연히 되는줄 알 고 사놓고 방치 해놨었는데 없네 한글화 해줘 우익 시발 놈 들 아 ㅠㅠㅠㅠㅠ,2018-05-26 22:32:09
412830,STEINS;GATE,positive,인생겜,인생 겜,2018-04-19 20:57:10
412830,STEINS;GATE,positive,엘프 싸이 콩가루,엘프 싸이 콩가루,2018-03-07 21:10:02
412830,STEINS;GATE,positive,엘 프 사이 콩 가루,엘 프 사이 콩 가루,2018-02-24 03:19:52
412830,STEINS;GATE,positive,"시간 여행의 딜레마라는 소재를 감동적으로 풀어낸 SF 비주얼 노벨 개인적으로 비주얼 노벨 장르를 좋아하지 않음에도 불구하고 인상깊게 한 작품이다. 2009년에 처음 출시되었지만 2018년 현재에도 울궈먹어지고 있는 비범한 [strike]사골[/strike]게임 탄탄한 스토리 하나는 확실히 고평가 받을 만하다. 다만 챕터 5, 작중 시간 8월 13일에 다다르기까지 하는거라곤 떡밥 뿌리기밖에 없어서 초반부 스토리 전개가 지루하다. 명작이라는 말을 듣지 못했다면 도중에 지겨워서 그만뒀을 듯 초반부에 좀 바보같은 개그가 많이 나오는데","시간 여행 의 딜레마 라는 소재 를 감동 적 으로 풀어 낸 SF 비주 얼 노벨 개인 적 으로 비주 얼 노벨 장르 를 좋아하지 않음에도 불구 하고 인상 깊게 한 작품 이다 . 2009년 에 처음 출시 되었지만 2018년 현재 에도 울 궈 먹어지고 있는 비범한 [ strike ] 사골 [/ strike ] 게임 탄탄한 스토리 하나 는 확실히 고 평가 받을 만하 다 . 다만 챕 터 5 , 작 중 시간 8월 13일 에 다다르기까지 하는거라곤 떡밥 뿌리 기 밖에 없어서 초반 부 스토리 전개 가 지루하다 . 명작 이라는 말 을 듣지 못 했다면 도중 에 지겨워서 그만뒀을 듯 초반 부 에 좀 바보 같은 개그 가 많이 나오는데",2018-02-18 20:24:54
412830,STEINS;GATE,positive,최고의 게임. 우익 요소따위는 내가 플레이하면서 찾아볼 수 없었다. 애니를 본 사람이라면 무조건 게임을 사서 해보길 바란다.,최고 의 게임 . 우익 요 소 따위 는 내 가 플레이 하면서 찾아볼 수 없었다 . 애니 를 본 사람 이 라면 무조건 게임 을 사서 해보길 바란다 .,2018-01-19 00:54:50
412830,STEINS;GATE,positive,"한글화해주새오,,,,,,","한글화 해주 새오 ,,,,,,",2018-01-10 19:31:04
412830,STEINS;GATE,positive,그래서 한국어 언제 지원함 내가 이거 작년에 다운받았는데 그때 한국인이 번역하는거 우리가 할테니까 하지말라고 했다는데 아직도 안됨? --2018 0306 수정-- 아아.... 영어든 일본어든 상관없었다... 그것은 그저 슈타인즈 게이트의 선택... 건투를 빈다. 엘 프사이 콩그루.,그래서 한국어 언제 지 원함 내 가 이 거 작년 에 다운 받았는데 그때 한국인 이 번역 하는거 우리 가 할테니까 하지말라고 했다는데 아직도 안됨 ? -- 2018 0306 수정 -- 아아 .... 영어 든 일본어 든 상관없었다 ... 그것 은 그저 슈타인 즈 게이트 의 선택 ... 건투 를 빈다 . 엘 프사이 콩 그루 .,2018-01-03 15:45:00
412830,STEINS;GATE,positive,wow.,wow .,2017-12-30 18:37:39
412830,STEINS;GATE,positive,비쥬얼 노블 / sf 소재를 통한 창의적인 스토리,비쥬 얼 노블 / sf 소재 를 통한 창의 적 인 스토리,2017-12-02 10:03:09
412830,STEINS;GATE,positive,"명작이다 갓겜이다 엄청난 스케일,몰입도,스토리 팬티5장 옆에두고 플레이해도 부족할만큼 지린다 한글패치가 없다 하지만 이것도 슈타인즈게이트의 선택인것인가 엘 프사이 콩그루","명작 이다 갓 겜 이다 엄청난 스케일 , 몰입도 , 스토리 팬티 5 장 옆 에두 고 플레이 해도 부족할만큼 지 린다 한글패치 가 없다 하지만 이 것 도 슈타인즈게이트 의 선택 인 것 인가 엘 프사이 콩 그루",2017-07-04 23:09:43
412830,STEINS;GATE,positive,재밌으나 한국어 패치가 없으므로 영어나 일어에 자신있는분만 추천함,재밌으나 한국어 패치 가 없으므로 영어 나 일어 에 자신있는 분만 추천 함,2017-03-16 22:14:54
412830,STEINS;GATE,positive,퍄퍄 갓-슈타게,퍄퍄 갓 - 슈타게,2017-03-14 11:01:19
412830,STEINS;GATE,positive,"일본어 자막으로 하고 싶으신 분들은 라이브러리 내에 있는 슈타인즈 게이트를 오른쪽 클릭하여 나오는 창에 있는 속성을 클릭, 그곳에서 언어 탭을 누른뒤 영어를 일본어로 변경하시면 됩니다. 그럼, 건투를 빕니다. 엘. 프사이. 콩그루.","일본어 자막 으로 하고 싶으신 분 들 은 라이브러리 내 에 있는 슈타인 즈 게이트 를 오른쪽 클릭 하여 나오는 창 에 있는 속성 을 클릭 , 그 곳 에서 언어 탭 을 누른 뒤 영어 를 일본어 로 변경 하시면 됩니다 . 그럼 , 건투 를 빕니다 . 엘 . 프사이 . 콩 그루 .",2017-01-03 16:39:58
412830,STEINS;GATE,positive,엘..프사이..콩그루,엘 .. 프사이 .. 콩 그루,2016-10-17 01:04:21
412830,STEINS;GATE,positive,이것이 슈타인즈 게이트의 선택. 엘...프사이...콩그루,이 것 이 슈타인 즈 게이트 의 선택 . 엘 ... 프사이 ... 콩 그루,2016-10-11 22:18:48
412830,STEINS;GATE,positive,모든것은 슈타인즈 게이트의 선택 + 좋은 스토리 + 긴 플레이 타임 + 메세지 및 폰 콜 시스템 + 좋은 CG - 스토리가 너무 방대해서 정신놓은 상태에서 하면 스토리 잊을 가능성 있음 -- 개발사가 우익,모든 것 은 슈타인 즈 게이트 의 선택 + 좋은 스토리 + 긴 플레이 타임 + 메세지 및 폰 콜 시스템 + 좋은 CG - 스토리 가 너무 방대해서 정신 놓은 상태 에서 하면 스토리 잊을 가능성 있음 -- 개발 사가 우익,2016-09-19 12:42:24
412830,STEINS;GATE,positive,"뚜뜨루~ - 마유리 엘..프사이...콩그루... - 오카베 ㅍ..포크를 원하는걸 어떻게 알았지...?!- 크리스 페이리스 사마다냥~! - 페이리스 ㅇ..엘 프사이...코..콩가리...? - 루카 다루 : 마키세 씨, 마키세 씨... 크리스 : 하이? 다루 : 변태의 바나나 같은 거 먹겠냐고.. 한 번 더 부탁할 수 있나? *****할 수 있으면 분한 표정으로***** 크리스 : 분한? 다루 : 응 크리스 :....?! 오카베 : 뭘 얼굴 붉히고 있지? 혹시 뭔가를 상상했나? 말해 봐, 천재소녀~ 천재가 뭘 상상했는지...","뚜뜨루 ~ - 마 유리 엘 .. 프사이 ... 콩 그루 ... - 오 카베 ㅍ .. 포크 를 원하는걸 어떻게 알았지 ...?!- 크리스 페이 리스 사마 다 냥 ~! - 페이 리스 ㅇ .. 엘 프사이 ... 코 .. 콩가 리 ...? - 루카 다루 : 마 키세 씨 , 마 키세 씨 ... 크리스 : 하이 ? 다루 : 변태 의 바나나 같은 거 먹겠냐고 .. 한 번 더 부탁 할 수 있나 ? ***** 할 수 있으면 분한 표정 으로 ***** 크리스 : 분한 ? 다루 : 응 크리스 :....?! 오 카베 : 뭘 얼굴 붉히고 있지 ? 혹시 뭔가 를 상상 했나 ? 말 해 봐 , 천재 소녀 ~ 천재 가 뭘 상상 했는지 ...",2016-09-11 00:38:00
412830,STEINS;GATE,positive,아 일어 음성에 영어 텍스트구나... 일어 텍스트가 없어... 는 무슨 내가 스팀알못이었을뿐 ㅋㅋ,아 일어 음성 에 영어 텍스트 구나 ... 일어 텍스트 가 없어 ... 는 무슨 내 가 스팀 알못이었을 뿐 ㅋㅋ,2016-09-10 11:24:02
412830,STEINS;GATE,positive,"후우- 하하하하하?! 슈타인즈 게이트 제로를 기다리고 있던 마당에 원작이 pc로 나올줄이야. 칫.. 기관들의 시간끌기인가... 그러나 난 이쯤에서 만족해 주도록하지 이미 난 pc버전으로 나왔단것이 행복하다. 그런데 역시 살짝 실망감이 있다 싶을까- 오카베 린타로 (자칭 호오인 쿄마)의 웃는게 많이 달라진듯 하지만, 원작이 게임이니 이건 어쩔수 없다만.. 영문버전으로 문자를 치는게 좀 어색하다 게다가 자막 싱크도 살짝 안맞고 그래도 난 만족한다. 왜냐 물으신다면, 훗. 슈타게니까 팬텀브레이커로 밖에 보지못한 마키세 크리스를 이렇게","후우 - 하하 하하 하 ?! 슈타인 즈 게이트 제로 를 기다리고 있던 마당 에 원작 이 pc 로 나올줄이야 . 칫 .. 기관 들 의 시간 끌 기인 가 ... 그러나 난 이쯤 에서 만족해 주 도록 하 지 이미 난 pc 버전 으로 나왔 단것 이 행복하다 . 그런데 역시 살짝 실망 감 이 있다 싶을까 - 오 카베 린타로 ( 자칭 호 오인 쿄마 ) 의 웃는게 많이 달라진듯 하지만 , 원작 이 게임 이니 이건 어쩔 수 없다만 .. 영 문 버전 으로 문자 를 치는게 좀 어색하다 게다가 자막 싱크 도 살짝 안 맞고 그래도 난 만족한다 . 왜 냐 물으 신다면 , 훗 . 슈타게 니까 팬텀 브레이커 로 밖에 보지못한 마 키세 크리스 를 이렇게",2016-09-09 17:22:46
